Time,In,Out
1579077967.1495209,1,0
1579077986.0155597,2,0
1579078003.8039985,2,0
Time,In,Out
1579078095.0531669,3,0
1579078101.7254598,4,0
1579078103.1609178,4,1
1579078103.308646,4,2
1579078103.3810992,5,2
1579078129.0134792,5,2
Time,In,Out
1579078241.44796,5,2
Time,In,Out
1579078276.3885894,5,2
Time,In,Out
1579078312.2196398,5,3
1579078318.1561382,5,4
1579078320.9827142,6,4
1579078326.9203742,6,5
1579078327.7942486,7,5
1579078328.556709,8,5
1579078332.1597786,8,6
1579078380.0663717,9,6
1579078390.6383471,10,6
1579078396.0710685,10,7
1579078398.3602433,10,8
1579078400.2928138,10,9
1579078412.3344278,11,9
1579078420.1604626,12,9
1579078420.367551,12,10
1579078422.9830623,12,11
Time,In,Out
1579078592.1035266,13,11
1579078594.5313897,13,12
1579078597.3036368,14,12
1579078602.4502082,15,12
1579078604.7103462,16,12
1579078610.46896,16,13
1579078615.6602938,17,13
1579078617.072742,17,14
1579078623.1946435,17,15
1579078639.7956786,17,16
1579078639.7957377,18,16
1579078642.5231323,19,16
1579078652.0283084,19,17
1579078663.2241998,20,17
1579078672.1995752,21,17
1579078672.5349197,22,17
1579078700.0763216,23,17
1579078713.89184,24,17
1579078716.023229,24,18
1579078720.9071524,24,19
1579078721.1332674,24,20
1579078724.9897857,24,20
Time,In,Out
1579078887.2871454,25,20
1579078893.0010905,26,20
1579078893.765893,26,21
1579078894.7662535,27,21
1579078902.2754714,28,21
1579078907.6479034,29,21
1579078912.767649,30,21
1579078912.9166393,30,22
1579078921.4026866,30,23
1579078927.3174698,31,23
1579078932.7332408,31,23
Time,In,Out
1579079489.3073142,32,23
1579079493.5736644,33,23
1579079495.6046562,34,23
1579079498.6947188,34,24
1579079498.8029134,34,25
1579079502.4206297,34,26
1579079507.5282032,35,26
1579079511.627441,35,27
1579079513.7998607,36,27
1579079515.8751905,37,27
1579079522.7517734,37,28
1579079525.9249892,38,28
1579079526.322684,39,28
1579079526.352432,39,29
1579079530.1719716,39,30
1579079531.0174057,39,31
1579079535.9942265,40,31
1579079539.071853,40,32
1579079539.5917351,41,32
1579079542.9597638,42,32
1579079549.0616903,42,32
Time,In,Out
1579079695.7652595,43,32
1579079696.6463711,43,33
1579079699.007365,44,33
1579079699.560801,44,34
1579079699.8955026,44,35
1579079701.4613147,44,36
1579079701.57742,45,36
1579079703.8606234,45,37
1579079703.9928641,45,38
1579079705.7987664,46,38
1579079710.2155113,46,39
1579079713.262711,46,40
1579079716.1845312,47,40
1579079717.0546765,48,40
1579079719.893067,49,40
1579079721.240543,50,40
1579079722.960855,50,41
1579079727.587958,50,42
1579079729.7007265,51,42
1579079732.485312,52,42
1579079735.349931,52,43
1579079745.9430847,53,43
1579079746.6669421,53,44
1579079750.880834,53,45
1579079762.2918992,53,45
Time,In,Out
1579080896.8311594,54,45
1579080913.095026,54,45
Time,In,Out
1579096687.926125,55,45
1579096691.0164287,56,45
1579096701.9179533,57,45
1579096710.8301618,57,45
Time,In,Out
1579096901.1479218,57,46
1579096916.1918418,57,47
1579097011.860334,57,47
Time,In,Out
1579097387.193666,58,47
1579097439.1682987,58,48
1579097449.3605876,59,48
1579097457.7404878,59,49
1579097467.421319,60,49
1579097486.5639346,61,49
1579097500.8373423,62,49
Time,In,Out
1579098033.9978764,63,49
1579098092.1119747,63,50
Time,In,Out
1579098119.8255954,63,50
Time,In,Out
1579098317.1472526,63,51
1579098317.1937916,63,52
1579098400.884699,63,53
1579098422.9313273,64,53
1579098439.3321462,65,53
1579098473.0400193,66,53
1579098480.4251034,67,53
1579098480.474316,68,53
1579098482.9003756,69,53
1579098496.7916586,70,53
1579098500.5430787,71,53
Time,In,Out
1579102912.9524968,71,53
Time,In,Out
1579103076.2500873,71,53
Time,In,Out
1579103312.460837,72,53
Time,In,Out
1579103723.3618538,73,53
1579103744.4196687,73,54
1579103748.4810486,74,54
1579103802.2552004,75,54
1579103823.1878972,76,54
1579103846.0674963,76,54
Time,In,Out
1579104521.607223,77,54
1579104555.0126998,78,54
1579104563.7379515,78,55
1579104567.7970278,79,55
1579104590.4068692,80,55
1579104592.1158142,81,55
1579104618.0774348,82,55
1579104624.7350187,83,55
1579104634.8145826,84,55
1579104645.6533406,85,55
1579104658.9862218,86,55
1579104672.8457375,87,55
1579104683.8586738,88,55
1579104702.5864105,89,55
1579104705.526547,90,55
Time,In,Out
1579104952.4858942,90,56
1579104980.735004,91,56
1579104984.62274,92,56
1579105015.9687643,92,57
1579105019.5584462,93,57
1579105021.3192725,94,57
1579105050.4959023,95,57
1579105077.0505657,96,57
1579105083.4742959,96,58
Time,In,Out
1579105354.32953,96,58
Time,In,Out
1579105474.253147,96,58
Time,In,Out
1579105690.0060368,96,58
Time,In,Out
1579105725.5952988,96,58
Time,In,Out
1579105801.9172208,96,58
